TAMU Protocol ID	TAMU Protocol	NEMSIS Protocol ID	NEMSIS Protocol	Signs&Symptoms	History	Interventions Standby EMT	Interventions Basic EMT	Interventions Advanced EMT	Interventions Paramedic
AM_17	Stroke	9914145	Medical-Stroke/TIA 	Altered mental status3; Hypertension: Blood pressure > 220 mmHg or diastolic blood pressure > 120 mmHg3; Unilateral or global paralysis/weakness/facial droop3; Sensory deprivation/loss (e.g. blindness, visual disturbance)3; Vertigo/dizziness3; Vomiting3; Seizures3; Ataxia3; Aphasia / Dysphasia3; Headache3	Previous CVA, TIA3; Previous vascular/cardiac surgery3; Associated diseases: diabetes, hypertension, CAD3; Atrial fibrillation3; Medications (blood thinners)3; History of trauma3; Time of onset3	Neurological exam (stroke assessment- Cincinnati then VAN if positive)3; Blood glucose level assessment3; Oxygen via most appropriate method3; Reassess blood pressure if SBP > 220 mmHg and/or DBP > 120 mmHg3	Neurological exam (stroke assessment- Cincinnati then VAN if positive)3; Blood glucose level assessment3; Oxygen via most appropriate method3; Reassess blood pressure if SBP > 220 mmHg and/or DBP > 120 mmHg3	IV/IO access3; Zofran 4 – 8 mg PO/IV/IO3; Secondary vascular access3	Labetalol 10 mg IV/IO over 2 minutes if SBP > 220 mmHg or DBP > 120 mmHg3; Repeat once after 15 minutes if SBP >180 or DBP > 1003; Consider DSI/RSI3
									
									
OB_02	Pre-Eclampsia	9914157	OB/GYN-Eclampsia	NO SEIZURE LIKE ACTIVITY3; Known or suspected pregnancy greater or equal 20 weeks or up to 12 weeks postpartum3; Persistent hypertension with SBP greater or equal 140 mmHg and/or diastolic greater or equal 90 mmHg3; With one or more symptoms: Peripheral edema, Nausea/Vomiting, Headache, AMS3	Gravid female with intra-uterine pregnancy3; Recent childbirth3	Oxygen via most appropriate method3; Place patient in left lateral recumbent position3; Outside sensory stimulation should be MINIMAL3	Oxygen via most appropriate method3; Place patient in left lateral recumbent position3; Outside sensory stimulation should be MINIMAL3	IV/IO access3; Zofran 4 – 8 mg IV or ODT3	Magnesium sulfate 2 grams IV/IO infusion3; Mix in 100 ml NS and infuse over 10 minutes3; Labetalol 10 mg SLOW IV/IO3; If hypertension persists refractory to Magnesium sulfate3; Repeat q 5 – 10 minutes PRS to lower MAP 20%3
OB_03	Eclampsia / Toxemia	9914157	OB/GYN-Eclampsia	ACTIVE OR RECENT SEIZURE3; Known or suspected pregnancy greater or equal 20 weeks or up to 12 weeks postpartum3; Persistent hypertension with SBP greater or equal 140 mmHg and/or diastolic greater or equal 90 mmHg3	Gravid female with intra-uterine pregnancy3; Recent childbirth3	Oxygen via most appropriate method3; Place patient in left lateral recumbent position3; Outside sensory stimulation should be MINIMAL3	Oxygen via most appropriate method3; Place patient in left lateral recumbent position3; Outside sensory stimulation should be MINIMAL3	IV/IO access3	Magnesium sulfate 2 grams IV/IO over 2 – 3 minutes3; mix 2 grams in 10 mL syringe with NS3; May repeat once if seizure and/or hypertension persists3; Magnesium sulfate 4 grams IM only if unable to establish IV3; Administer 2 g IM in two large muscle groups, gluteus preferred.3; Midazolam 2 – 5 mg IV/IO/IM/IN3; May repeat once after 5 minutes3; Labetalol 10 mg SLOW IV/IO3; If hypertension persists refractory to Magnesium sulfate3; Repeat q 5 – 10 minutes PRS to lower MAP 20%3
OB_04	Labor and Delivery	9914155	OB/GYN-Childbirth/Labor/Delivery	Decreased perfusion, hypotension SBP < 90 mmHg, tachycardia3; Altered mental status3; Weakness3; Hypo/Hyperthermic3; Warm, flushed, sweaty3; Chills/rigors3; Associated symptoms: flu like symptoms, myalgia, cough, chest pain, throat pain, headache,dysuria, abdominal pain, rash,3; Redness around infection sight/wound3	Gravid female with intra-uterine pregnancy > 20 weeks3; Due date, Gravida/para status3; Time contractions started and how often3; Rupture of membrane3; Time/amount of vaginal bleeding3; Sensation of fetal activity3; Past medical and delivery history3; Any complications or high risk status3	Oxygen via most appropriate method3; If imminent delivery not possible, place patient in left lateral recumbent position3; Document frequency and duration of contractions3; If imminent delivery3; Place mother supine with hips elevated knees to chest3; Prepare for delivery utilizing OB kit(s)3; Deliver neonate3; Refer to post-delivery care of neonate protocol3; Fundus massage post-delivery for hemorrhage3; Prolapsed Cord or Shoulder Dystocia3; If no cord pulsation, insert fingers into vagina and move neonate’s head to relieve pressure on cord3; Cover umbilical cord in moist sterile dressing3; Place patient in left-sided Trendelenburg or prone, in Knee to chest position3; Breech Birth3; Urgent transport3; Encourage mother to refrain from pushing3; Support presenting parts/limbs. Do Not Pull.3; Place 2 fingers along nose and push vaginal wall from face if needed3	Oxygen via most appropriate method3; If imminent delivery not possible, place patient in left lateral recumbent position3; Document frequency and duration of contractions3; If imminent delivery3; Place mother supine with hips elevated knees to chest3; Prepare for delivery utilizing OB kit(s)3; Deliver neonate3; Refer to post-delivery care of neonate protocol3; Fundus massage post-delivery for hemorrhage3; Prolapsed Cord or Shoulder Dystocia3; If no cord pulsation, insert fingers into vagina and move neonate’s head to relieve pressure on cord3; Cover umbilical cord in moist sterile dressing3; Place patient in left-sided Trendelenburg or prone, in Knee to chest position3; Breech Birth3; Urgent transport3; Encourage mother to refrain from pushing3; Support presenting parts/limbs. Do Not Pull.3; Place 2 fingers along nose and push vaginal wall from face if needed3	IV/IO access3	ALS assessment if indicated.3; Newborn care should be initiated immediately following delivery. See Newborn Care Protocol in3; Adult OB section.3
OB_05	Newborn and Neonate Care	9914155	OB/GYN-Childbirth/Labor/Delivery	Viable baby3	Newborn less than 12 hours old3; Neonate less than 1 month old3	Support the infants head as needed3; Dry, suction, position appropriately and vigorously stimulate the neonate3; Aggressive suction using bulb suction provided in OB kit. Suction mouth then nose.3; Keep warm, wrap in bunting or blanket3; Oxygen via most appropriate method3; Assess baby3; C.A.B.C.3; APGAR – at 1 and 5 minutes3; Vital Signs3; Blood Glucose: heel-stick method3; BVM assist with 100% O2 if heart rate < 1003; CPR if apneic or if heart rate < 60 bpm with poor perfusion despite oxygenation and ventilation3	Support the infants head as needed3; Dry, suction, position appropriately and vigorously stimulate the neonate3; Aggressive suction using bulb suction provided in OB kit. Suction mouth then nose.3; Keep warm, wrap in bunting or blanket3; Oxygen via most appropriate method3; Assess baby3; C.A.B.C.3; APGAR – at 1 and 5 minutes3; Vital Signs3; Blood Glucose: heel-stick method3; BVM assist with 100% O2 if heart rate < 1003; CPR if apneic or if heart rate < 60 bpm with poor perfusion despite oxygenation and ventilation3	IV/IO access3; IO if > 3 kg - for unstable Neonates only (ex. Respiratory failure)3; Fluid Bolus utilizing Buretrol3; 20 ml/kg IV/IO3; Max 60 ml/kg3; D10W 2 ml/kg IV/IO3; Repeat blood glucose level check after 5 minutes3; Repeat as needed to maintain BGL > 40 mg/dL3; Core Temperature3	Bradycardia – heart rate < 80 bpm3; Epinephrine 1:10,000 0.01 mg/kg IV/IO3; Repeat every 3-5 minutes3; Epinephrine 1:1000 0.1 mg/kg ET if unable to obtain IV/IO access3; Repeat every 3-5 minutes3; Atropine 0.02 mg/kg IV/IO if refractory to EPI3
OB_06	Spontaneous Abortion	9914163	OB/GYN-Post-partum Hemorrhage	Vaginal hemorrhage that is non-menstrual3; Abdominal or back cramping or pain3; Tissue passing with blood3	Known or suspected intrauterine pregnancy3	Provide emotional support3; Control hemorrhage3; Place abdominal pads at vaginal opening3; Collect passed tissue, if possible3	Provide emotional support3; Control hemorrhage3; Place abdominal pads at vaginal opening3; Collect passed tissue, if possible3	IV/IO access3; Fluid bolus if SBP < 90 mmHg3; Repeat PRN to keep SBP > 90 mmHg3; Max 2 liters3	Pain management3; Refer to Anxiety and Emotional Distress Protocol if indicated3
									
AR_02	Respiratory Distress	9914139	Medical-Respiratory Distress/Asthma/COPD/Reactive Airway	Dyspnea without a clear etiology3; Shortness of breath, cough3; Abnormal breath sounds: stridor, wheezing, rhonchi, rales3; Decreased or absent lung sounds3; Increased respiratory rate/work of breathing3; Pursed lips, tripod position, accessory muscle use3; Hemoptysis3	Significant respiratory history3; New onset3; Possible toxic exposure3; Recent chest trauma3	Oxygen3; DuoNeb3; Position of comfort3	CPAP 3 3	IV/IO3; Fluid bolus3	Consider DSI/RSI3
AR_03	Airway Obstruction	9914005	Airway-Obstruction/Foreign Body	Partial or complete airway obstruction3; Secondary to foreign body aspiration3; Decreased LOC3; Cyanosis3; Obvious inadequate air exchange3	Recent events3; Recent ACE inhibitor use3	Chest/abdominal thrusts for complete blockage in conscious patient3; Initiate CPR in unconscious patient with known airway obstruction3; Oxygen3; Remove foreign body with suction if it has become dislodged and is easily visible.3	Chest/abdominal thrusts for complete blockage in conscious patient3; Initiate CPR in unconscious patient with known airway obstruction3; Oxygen3; Remove foreign body with suction if it has become dislodged and is easily visible.3	Direct/Video laryngoscopy and removal of foreign object with Magill forceps or suction3; IV/IO3	
AR_04	Bronchospasm	9914221	Medical-Respiratory Distress-Bronchiolitis	Shortness of breath3; Wheezing, rhonchi, stridor3; Prolonged expiratory phase3; Pursed lip breathing3; Decreased ability to speak3; Increased respiratory rate and effort/work of breathing3; Accessory muscle use3	History of asthma, COPD, chronic bronchitis3; Reactive airway disease- exposure to allergens, smoke, chemicals.3; Home treatment such as at home oxygen or CPAP machine3; Medications3	Oxygen3; DuoNeb3; Position of comfort3	CPAP 3 3	IV/IO3; Fluid bolus3	Epinepherine3; Methylprednisolone3; Magnesium sulfate3; 
AR_05	Chronic Obstructed Pulmonary Disease	9914139	Medical-Respiratory Distress/Asthma/COPD/Reactive Airway	Shortness of breath3; Wheezing, rhonchi, stridor3; Prolonged expiratory phase3; Pursed lip breathing3; Decreased ability to speak3; Increased respiratory rate and effort/work of breathing3; Accessory muscle use3	History of COPD; Chronic bronchitis or emphysema3; Home treatment such as at home oxygen or CPAP machine3	Oxygen3; DuoNeb3	CPAP3	IV/IO access3; Fluid Bolus3	Methylprednisolone3; Magnesium Sulfate3; Epinephrine 1:1,0003
AR_06	Pneumonia	9914139	Medical-Respiratory Distress/Asthma/COPD/Reactive Airway	Fever may be present (not required for pneumonia)3; Productive cough3; Localized wheezing, rhonchi or rales3; Shortness of breath3; Pain with respirations3; Associated symptoms: flu like symptoms, myalgia, cough, chest pain, throat pain, headache, dysuria, abdominal pain, rash3	Recent upper respiratory illness3; History of bronchitis, infection, or respiratory illness/pneumonia3; Recent hospital visit within last 90 days (hospital-acquired pneumonia)3; Gradual onset3; Aspiration risk3				
AR_07	Pulmonary Edema	9914137	Medical-Pulmonary Edema/CHF	Dyspnea with auscultated findings of pulmonary edema (bilateral rales)3; Systolic BP > 90 mmHg3; Atrial fibrillation may be present3; Jugular vein distention3; Pink, frothy sputum3; Peripheral edema3; Diaphoresis3; Chest pain3; Orthopnea3	Prior history3; Medication (Lasix, digoxin)3; Erectile dysfunction drugs (Viagra, Levitra, Cialis)3; Dyspnea on exertion3; Cardiac history (MI, CHF)3; Paroxysmal nocturnal dyspnea (PND)3; Dietary indiscretion (ESRD)3				
AR_08	Pulmonary Embolism	9914137	Medical-Pulmonary Edema/CHF	Dyspnea, sudden onset3; Unilateral leg pain/swelling3; Chest pain3; Clear lung sounds3; Hemoptysis3; JVD3; Tachycardia3; A-fib3; Syncope3	Recent surgery3; Thrombosis/Embolism3; Recent travel within 30 days3; Recent immobilization of an extremity3; OCP3; Recent TXA administration may increase PE risk3	Oxygen3	CPAP3	IV/IO access3; Fluid Bolus3; Intubation3	DSI/RSI3; Dopamine Infusion3; Norepinephrine (Levophed)3
									
AT_02	Amputation	9914077	Injury-Amputation	Partially severed body part3; Completely severed body part3	Mechanism of Injury: crush/penetrating/laceration3; Time of injury3; Wound contamination3; Medical comorbidities: anemia, COPD, etc.3; Medications: beta blockers, insulin, amphetamines, etc.3	Hemorrhage control - Early application of tourniquet for arterial or uncontrolled hemorrhage3; SMR3; Oxygen via the most appropriate method3; Splint any associated fracture or dislocation3; Active warming for shock/traumatic hypovolemia3	Hemorrhage control - Hemostatic bandaging for active hemorrhage3	IV/IO access3; Fluid bolus if SBP < 90 mmHg - Repeat PRN to keep SBP > 90 mmHg - Max 2 liters3	Pain management - Ketamine preferred analgesia in traumatic injuries3; Consider Air Medical Provider for transport to appropriate destination; TXA 1 gram IV/IO - Mix in 100 mL NS infuse over 10 minutes
AT_03	Burns	9914085	Injury-Burns-Thermal	Burns, pain, swelling, blistering3; Tissue injury from direct contact with: heat source, chemical reaction, electricity/lightning3; Unconsciousness3; Hypotension/Shock3; Inhalation burns: hoarseness, wheezing, respiratory distress3	Direct contact with: heat source, chemical reaction, electricity/lightning3; Time of injury3; Additional trauma potential3	Remove the burn source3; Oxygen3; Treat underlying injuries3; Assess burns and associated injuries - Record TBSA of each type of burn for 2° and 3°3; Dress burns as follows: - TBSA of 2° and 3° < 15% use wet sterile dressing - TBSA of 2° and 3° > 15% use dry sterile dressing or burn sheet3	Same as above3	Intubation3; IV/IO access3; Fluid bolus3	Pain management - Ketamine preferred analgesia in traumatic injuries3; DSI/RSI for respiratory/inhalation burns; Surgical airway (cricothyroidotomy) procedure; Consider Air Medical Provider for transport to appropriate burn center
AT_04	Evisceration	9914109	Medical-Abdominal Pain	Pain3; Bleeding3; Protrusion of internal organs through a wound3	Trauma causing an evisceration3	SMR if indicated3; Oxygen3; Cover wound/organs with sterile, moist dressing and bandage3; If localized uncontrolled bleeding can be visually identified without gross manipulation apply dressing and pressure to area/vessel. - Do NOT wound pack abdominal cavity3	Same as above3	IV/IO access3; Fluid bolus if SBP < 90 mmHg - Repeat PRN to keep SBP > 90 mmHg3 - Max 2 liters3	Pain management - Ketamine preferred analgesia in traumatic injuries3; Consider Air Medical Provider for transport to appropriate destination3
AT_05	Eye Injury	9914099	Injury-Eye	Injury to the globe, open or closed, including: Corneal abrasion, foreign body in the eye, chemical burn, lacerated or avulsed globe, arc burns of globe3; Excessive tearing and burning of the eyes, nasal drainage, salivation3; Decreased or loss of vision3; Pain3	Sprayed with CS/OC spray3; Trauma resulting in an eye injury3; Eye pain with unknown etiology3	Do not remove foreign body if globe penetrated - Stabilize in place and cover both eyes3; Chemical burn/CS or OC spray - Flush continuously with copious amounts of water or NS - 20 minutes preferred if wash station available - Do not let the run off from the affected eye contaminate the non-infected eye3; Open injury to globe - Shield both eyes3; Corneal abrasion, ultraviolet (arc) burn, or foreign body - Tetracaine 1 – 2 gtt in affected eye(s) PRN - Remove foreign body if not embedded and globe not penetrated - Shield affected eye3; Flush/irrigate with sterile water and/or normal saline 2 – 3 liters per affected eye3	Same as above3	IV/IO access3	Pain management3; Morgan lens3
AT_06	Head Trauma	9914101	Injury-Head	Altered Mental Status3; Loss of consciousness3; Decreased GCS3; Respiratory distress/failure3; Vomiting3; Convulsions3; Posturing3; Pain, swelling, bleeding3	Trauma etiology resulting in a head injury3; Time of injury3; Mechanism (blunt vs penetrating)3; History of TBI, concussions, surgical plates/stents3	Hemorrhage control3; Helmet removal - For airway management if clinically indicated3; SMR if indicated3; Oxygen via most appropriate method3; Obtain GCS3; Consider restraint procedure3	Same as above3	Fluid bolus if SBP < 90 mmHg - May repeat PRN to maintain SBP > 90 mmHg - Max 2 liters3;	Therapeutic hyperventilation if s/s of herniation are present - EtCO2 30 – 35 mmHg3; Pain management3; DSI/RSI procedure3; Refer to appropriate protocol to address symptoms3
AT_07	Multi-System Trauma	9914105	Injury-Multisystem	Injury to the chest, abdomen, or pelvis3; Multiple soft-tissue or musculoskeletal injuries3; AMS3; Unconscious3; Hypotension or shock3	Mechanism of injury3; Associated damage to scene/vehicle/building3; Position or location relative to mechanism3; Speed of vehicle3	Hemorrhage control - Early application of tourniquet for arterial or life-threatening hemorrhage - compression dressing (gauze) and bandaging for compressible hemorrhage3; Occlusive dressing - Sucking chest wounds - Penetrating trauma from the neck to the naval3; Active warming for shock/traumatic hypovolemia3; SMR if indicated3; Oxygen via the most appropriate method3; Obtain GCS3; Splint any associated fracture or dislocation3; Supraglottic airway device3	Application of pelvic binder if indicated3; Hemorrhage control - Hemostatic bandaging for active hemorrhage3	IV/IO access - Consider secondary access3; Fluid bolus if SBP < 90 mmHg - Repeat PRN to keep SBP > 90 mmHg - Max 2 liters3; Intubation3	Chest decompression procedure if indicated3; Surgical airway (cricothyroidotomy) if indicated3; DSI/RSI procedure3; TXA 1 gram IV/IO3; Mix in 100 mL NS infuse over 10 minutes3; Pain management - Consider Ketamine as primary analgesia for traumatic injury3; Consider Air Medical Provider3
AT_08	Musculoskeletal - Soft Tissue Injury	9914207	Injury-General Trauma Management	Pain on palpation or movement3; DCAP-BTLS3; Dislocation3; Open/closed fracture3; Decreased or absent distal circulation, motor, and/or sensation3	Mechanism of injury3; Recent trauma3; Previous injury of the affected site3; Time from injury to arrival on scene3	Hemorrhage control - Early application of tourniquet for arterial or life-threatening hemorrhage - compression dressing (gauze) and bandaging for compressible hemorrhage3; Occlusive dressing - Sucking chest wounds - Penetrating trauma from the neck to the naval3; Active warming for shock/traumatic hypovolemia3; SMR if indicated3; Oxygen via the most appropriate method3; Obtain GCS3; Splint any associated fracture or dislocation - If circulation, motor function, and/or sensation is compromised, gently reposition extremity by applying inline traction - Only attempt once and stop if resistance is met3; External cooling if injury site is isolated	Early application of pelvic binder if indicated3	IV/IO access3; Fluid bolus if SBP < 90 mmHg - Repeat PRN to keep SBP > 90 mmHg - Max 2 liters3	Pain management3
AT_09	Penetrating Injury	9914103	Injury-Impaled Object	A penetrating injury to any body part3; Entrance and/or exit wounds3; Embedded foreign body3	Mechanism of injury3; Note ballistics3; Consider contaminants/toxins on penetrating foreign body3; Consider trajectory of penetrating object3	Always ensure provider safety, request and stage for law enforcement if indicated3; Hemorrhage control - Early application of tourniquet for arterial or life-threatening hemorrhage - compression dressing (gauze) and bandaging for compressible hemorrhage3; Occlusive dressing - Sucking chest wounds - Penetrating trauma from the neck to the naval3; Active warming for shock/traumatic hypovolemia3; SMR if indicated3; Oxygen via the most appropriate method3; Stabilize impaled objects and splint any associated fracture or dislocation3; Active warming for shock/traumatic hypovolemia3	Same as above3	IV/IO access3; Fluid bolus if SBP < 90 mmHg - Repeat PRN to keep SBP > 90 mmHg - Max 2 liters3	Chest decompression procedure if indicated3; DSI/RSI procedure3; TXA 1 gram IV/IO3 - Mix in 100 mL NS infuse over 10 minutes3; Pain management - Consider Ketamine as primary analgesia for traumatic injury3; Consider Air Medical Provider3
AT_10	Sexual Assault	9914053	General-Behavioral/Patient Restraint	Signs of assault or injury3; Rectal or genital bleeding3; Pain, swelling, contusions, scars, chafing, bite marks to genital area3; Pain with urination or bowel movement3; Mood disturbance3	Report of recent sexual assault3; Unexplained memory loss3; Possible exposure to date rape drugs: alcohol, flunitrazepam (Rohypnol), gamma- hydroxybutyric acid (GHB), gamma-butyrolactone (GBL), ketamine3	Always ensure provider safety, request and stage for law enforcement if indicated3; Provide emotional support3; Treat underlying injuries3	Same as above3	Same as above3	Pain management3
AT_11	Spinal Trauma	9914107	Injury-Spinal Cord	Presence of decreased neurological function below site of injury3; Loss of sensation3; Inability to move3; Hypotension3	Mechanism of injury3; Elapsed time since injury and neurological compromise (delayed paralysis)3; Previous injury/paralysis3	Oxygen via most appropriate method - Respiratory compromise may be present due to absence of respiratory drive3; SMR Procedure - Request additional resources (manpower) for patient packaging and movement	Same as above3	IV/IO access3; Fluid bolus if SBP < 90 mmHg - Repeat PRN to keep SBP > 90 mmHg - Max 2 liters3	Norepinephrine (Levophed) 2 – 12 mcg/min IV/IO infusion - Administer if patient remains hypotensive after 2 liter bolus - Titrate to sustain SBP > 90 mmHg3; Dopamine 10 – 20 mcg/kg/min IV/IO for neurogenic shock - Administer if patient remains hypotensive after 1 liter bolus - Titrate to sustain SBP > 90 mmHg3; Pain Management3; DSI/RSI3; Consider Air Medical Provider3
AT_12	Taser	9914203	Injury-Conducted Electrical Weapon (e.g., Taser)	Taser probe embedded in a patient3	Taser use/discharge3; Be cognizant for excited delirium3; Cardiac disease, abnormalities, arrhythmias3	Always ensure provider safety, request and stage for law enforcement if indicated and not already on scene (Taser’s can be purchased by the general public)3; Assure electrical output is no longer surging through the probe/wires - cartridge housing/taser wires should be disconnected from the taser or battery source3; Remove probe from patient unless embedded in breast, groin/genitals, neck or facial areas - Grab as low on the probe as possibly with a firm grip. - Holding the skin taught around the probe, quickly pull back on probe removing it from the skin3; Wound care3; ALS consult/assessment is required3	Same as above3	Same as above3	Cardiac assessment3
AT_13	Traumatic Arrest	9914207	Injury-General Trauma Management	Trauma: evidence of blunt or penetrating injuries3; Pulseless3; Apnea or agonal respirations3; Any non-perfusing rhythm in the presence of acute trauma3	Traumatic etiology3; Surgical problem3	CPR - BVM ventilation with 100% O23; AED application3; Hemorrhage control - Early application of tourniquet for arterial or life-threatening hemorrhage - Must stop/reverse hypovolemia to obtain ROSC3; Occlusive dressing - Sucking chest wounds - Penetrating trauma from the neck to the naval3; SMR procedure3; Supraglottic airway device3	Application of pelvic binder if indicated3	Intubation3; IO/IV Access - Consider secondary access3; Fluid bolus if SBP < 90 mmHg - Repeat PRN to keep SBP > 90 mmHg - Max 2 liters3	Chest Decompression if indicated - Bilateral decompression (if indicated) is recommended in the presence of blunt force traumatic arrest3; Surgical airway (cricothyroidotomy) if indicated3; Rhythm appropriate treatment per specific protocol3; NG/OG tube placement3
									
PC_02	Asystole and PEA	9914011	Cardiac Arrest-Asystole	Unconscious3; Pulseless3; Apnea or agonal respirations3; Asystole (No electrical activity confirmed in two or more leads)3; PEA (organized rhythm without a pulse)3	PMHx3; Medications3; Events leading to arrest3; Estimated downtime3	CPR - BVM ventilation with 100% O23; Maintain initial airway with OPA3; AED application3; Supraglottic Airway Device3; Refer to Overdose/Poisoning Protocol if suspected Opioid overdose3	Same as above3	Intubation3; IV/IO access - IO access > 3 kg3; Fluid Bolus - 20 ml/kg - May repeat once3	Epinephrine 1:10,000 0.01 mg/kg IV/IO - Max single dose 0.4 mg / Max total dose 1.2 mg - Repeat q 3 – 5 minutes as needed - If no IV/IO access EPI 1:1,000 0.1 mg/kg ET q 3 – 5 minutes3; Sodium Bicarbonate 1 mEq/kg IV/IO for known acidosis, TCA verdose or hyperkalemia3; Orogastric or Nasogastric tube placement3
PC_03	Bradycardia	9914115	Medical-Bradycardia	Neonate HR < 80 bpm with s/s of hypoperfusion3; Child HR < 60 bpm with s/s of hypoperfusion3; Systolic BP < (70 + 2x age) mmHg3; Altered mental status (AMS)3; Syncope/ Seizure3; Chest pain3; Respiratory distress/Apnea3; Mottled skin3; Poor capillary refill/Cyanosis3	PMHx3; Events prior to onset3; Known cardiac disease3; Medications: beta blockers, calcium channel blockers, digoxin, cholinergic, clonidine3; Maternal medications if breastfeeding infant3; Trauma3	Oxygen via most appropriate method3; BVM assist with 100% O2 for infant/neonate if HR < 80 bpm3; CPR for infant/neonate if HR < 60 bpm with poor perfusion despite oxygenation and ventilation3; Narcan 0.1 mg/kg if suspicion of narcotic ingestion - Max single dose 2 mg3	Same as above3	IV/IO access - IO access > 3 kg3; Fluid Bolus - 20 ml/kg - May repeat once3	Consider transcutaneous pacing for unstable patient3; Sedation for pacing if patient condition allows: Diazepam 0.2 mg/kg IV/IO/IM - May repeat once after 5 minutes OR Midazolam 0.2 mg/kg IV/IM/IO/IN - May repeat once after 10 minutes OR Lorazepam 0.1 mg/kg IV/IO/IM - May repeat once after 10 minutes OR Ketamine 1 mg/kg IV/IO or 2 mg/kg IM - May repeat once after 10 minutes3; If bradycardia persists Epinephrine 1:10,000 0.01 mg/kg IV/IO - Max single dose 0.4 mg / Max total dose 1.2 mg - May repeat q 3 – 5 minutes - If no IV/IO access EPI 1:1,000 0.1 mg/kg ET q 3 – 5 minutes Atropine 0.02 mg/kg IV/IO if refractory to EPI - Min single dose 0.5 mg / Max total dose 0.04 mg/kg - May repeat once3; Epinephrine Infusion 0.1 – 1 mcg/kg/min - If refractory to Epi IV/IO3; Dopamine 2 – 12 mcg/kg/min - Administer if patient remains hypotensive 5 min after fluid bolus - Titrate to SBP > (70 + 2x age) mmHg3; Pain management for pacing if age > 1 month Fentanyl 1 mcg/kg IV/IO over 1 minute or 2 mcg/kg IM/IN - May repeat q 3 – 5 minutes3
PC_04	Cardiogenic Shock	9914127	Medical-Hypotension/Shock (Non-Trauma)	Hypotension: systolic B/P < (70 + 2x age) mmHg3; AMS3; Weak, rapid pulse3; Pale, cool, clammy skin3; Delayed capillary refill3; Tachycardia/Bradycardia3; Fever3; Petechia or rash3; Bloody or coffee ground emesis/Black or tarry stool3	Medical etiology: No evidence of trauma induced blood loss3; Signs of infection/sepsis3; Previous history of CHF/PE3; Recent wound or surgery3; Recent URI/UTI symptoms3; Fever3; Exposure to an allergen3	Oxygen via most appropriate method3; Trendelenburg position3	Same as above3	IV/IO access3; Fluid Bolus - 20 ml/kg - May repeat once3; Secondary Vascular Access3	Norepinephrine (Levophed) 2 – 12 mcg/min IV/IO infusion - Administer if patient remains hypotensive after 80 ml/kg bolus - Titrate to sustain SBP > 90 mmHg3; Dopamine 10 – 20 mcg/kg/min IV/IO - Administer if patient remains hypotensive after 80 ml/kg bolus - Titrate to sustain SBP > 90 mmHg3
PC_05	Chest pain – Non-traumatic	9914117	Medical-Cardiac Chest Pain	Abnormal vital signs3; Chest discomfort3; Pain or pressure naval to jaw3; Pain radiation to either arm/shoulder/upper back/neck3; Rate/rhythm disturbances including palpitations3; Epigastric discomfort3; Focal numbness/Weakness3; Anxiety	PMHx3; Recent activities/events3; Marfans syndrome3; Ehlers-Danlos syndrome3	Oxygen via most appropriate method3; Zofran PO - 4 mg if > 8 kg3	Same as above3	IV/IO access - IO access > 3 kg3; Zofran PO/IV/IO - Max 2 mg IV if < 8 kg - Max 4 mg IV/IO/PO if > 8 kg3	Pain Management - Fentanyl is preferred analgesia3
PC_06	Hypothermia Induced Arrest	9914013	Cardiac Arrest-Hypothermia-Therapeutic	Core temperature < 96 farenheit3; Pulseless3; Apnea or agonal respirations Environmental evidence of hypothermia3; ECG Findings: Any pulseless rhythm3	Medical etiology3; Immersion or exposure to cold temperatures3; Drug ingestion: alcohol, barbiturates3	CPR - BVM ventilation with 100% O23; Warm Patient - Remove wet clothing - Heat packs to axillary region and groin3; Application of AED3; Supraglottic Airway Device3	Same as above3	Intubation3; IV/IO access - IO access > 3 kg3; Fluid Bolus – warm fluids - 20 ml/kg - May repeat once3	If V-Fib - Defibrillate once at 2 J/kg - Do not repeat if temperature is below 85° F3; Refer to appropriate protocol for rhythm treatment and anti-arrhythmic3
PC_07	Narrow Complex Tachycardia - Stable	9914199	Medical-Tachycardia	SBP > (70 + 2x age) mmHg3; Without Altered mental status3; ECG Findings: QRS < 0.09 seconds3; Older children may include rate related dizziness, diaphoresis, chest pain, palpitations, SOB, syncope3; Infants may have poor feeding, irritability, SOB, vomiting3; Pulmonary edema/Shock (late sign)3	History of SVT /prior adenosine use3; History of A-Fib, A-Flutter or WPW3; Congenital heart disease or cardiomyopathy3; Possible medication ingestion: decongestants, diet pills, thyroid meds, Digoxin3; Caffeinated energy drinks3	Oxygen via most appropriate method3	Same as above3	IV/IO access - IO access > 3 g3; Fluid Bolus - 20 ml/kg - May repeat once3	Valsalva maneuver by patient3; Adenosine 0.1 mg/kg RAPID IV/IO followed by 10 ml flush - Max first dose 6 mg - If no conversion, give 0.2 mg/kg RAPID IV/IO followed by 10 ml flush - Max second dose 12mg3; Amiodarone infusion 5 mg/kg IV/IO over 20 minutes - Max single dose 150 mg - Mix 150 mg in 100 ml NS3
